,Title,Price,Material,Code,Sold,Days,Imagefile,first_level,second_level,third_level,Length,Width,Height
312,Vasque,75.0,Pisé,Sedge,1.0,70.0,"['512a8640-fa92-4f59-8edb-dc0f95dc2471.jpeg', 'd7acbc70-2042-47f1-afcb-7ab30bc210a4.jpeg', 'c7ae364a-5703-47e0-82e7-1ef3a9dbf9fa.jpeg']","Wall, Barriers, Pannels","Covering, Finish",Headwall and swale inlet products,,,
313,Dalle,33.0,Pisé,Sedge,0.0,537.0,"['f32d27f3-0c0f-4dfa-b17d-c0f903adce46.jpg', 'd632b84a-e8f3-4d17-aaf3-c93f9cf0deab.jpg']","Wall, Barriers, Pannels","Covering, Finish","Lighting columns, brackets and bollards",,,
364,/,10.0,Pisé,Sedge,0.0,409.0,"['aa895c0c-3920-48b2-9e98-08ce2a3b495b.jpeg', 'f30def86-0e6c-4ee3-bce0-504c66b8d76c.jpeg']",Other,"Covering, Finish",Other,,,
455,/,15.0,Pisé,Sedge,1.0,255.0,"['23301530-7fa9-4090-8fbe-b735ef5e3000.jpeg', 'd284b1f3-c8a0-45cd-a8c3-c324ade5b426.jpeg', 'ef934df6-8421-4fce-afbe-3fe0529c61c1.jpeg']",Other,"Covering, Finish",Other,,,
499,Dalle,7.0,Pisé,Sedge,0.0,409.0,['4a8220ef-7aa0-4038-8071-587169b470c6.jpg'],"Wall, Barriers, Pannels","Covering, Finish","Lighting columns, brackets and bollards",,,
525,Tole ondulée,10.0,Pisé,Sedge,1.0,398.0,['4ce5e512-685d-4213-ac5f-2099658f862f.jpeg'],"Wall, Barriers, Pannels","Covering, Finish","Floor plates, gratings and edgings",,,
583,Pavé,0.0,Pisé,Sedge,0.0,445.0,"['d57be05d-1feb-4287-a630-40fe851a35b6.jpeg', 'a1a0e736-cb99-4afc-81db-695eff8afd23.jpeg']","Wall, Barriers, Pannels","Covering, Finish","Floor plates, gratings and edgings",,,
602,/,22.0,Pisé,Sedge,1.0,73.0,"['311d5bf3-6c37-4108-97a8-8ac64d328a30.jpeg', 'a4806605-6a00-41c0-8fb1-3e77e2943a30.png', '64de5a85-4764-4bdf-a481-bf70e3c8b7da.jpeg', '3bba2a6b-f520-4f0d-891d-e6cf7dd4948f.png', '975af3f1-24eb-4282-966a-a96d01f1fc39.jpeg']",Other,"Covering, Finish",Other,,,
615,Mitigeur,15.0,Pisé,Sedge,1.0,398.0,['cd35fa78-dd92-4262-8eba-136f5e7fd94e.jpeg'],"Wall, Barriers, Pannels","Covering, Finish",Masonry walling units,,,
658,.,113.0,Pisé,Sedge,1.0,70.0,"['d7921aa7-96a0-46f7-a2ab-66c8d3923876.jpeg', '321c1861-eb50-413a-8560-effb84c21047.jpeg', 'e8695f3b-0f35-483f-807f-9311ad87262d.jpeg']","Wall, Barriers, Pannels","Covering, Finish",Other,,,
659,.,70.0,Pisé,Sedge,1.0,170.0,['00c252d8-bcb2-4d18-ba26-9ce6e6c39b47.png'],"Wall, Barriers, Pannels","Covering, Finish",Other,,,
700,Dalle,8.0,Pisé,Sedge,1.0,230.0,['760443a6-e5d4-470d-8bcc-a571bd60f757.jpeg'],"Wall, Barriers, Pannels","Covering, Finish","Lighting columns, brackets and bollards",,,
705,Dalle,8.0,Pisé,Sedge,1.0,230.0,['cdd524ba-03c8-4cbc-9a34-58c7f8d3fc63.jpeg'],"Wall, Barriers, Pannels","Covering, Finish","Lighting columns, brackets and bollards",,,
710,Vasque,40.0,Pisé,Sedge,0.0,821.0,"['49cdb30a-cd9f-46d7-a4d9-1594742a61cc.jpg', '273a153d-8140-4b20-9ab2-2a3751adf143.jpg', '3dd53607-8eb1-4e63-9039-6b670c0f523c.jpg']","Wall, Barriers, Pannels","Covering, Finish",Headwall and swale inlet products,,,
795,.,50.0,Pisé,Sedge,0.0,1027.0,"['4d747d02-9e05-4ca2-b451-998f2f8824ae.JPG', 'a5c838b5-8d70-4430-b81d-7ba4255a1379.JPG', 'e2d69f0c-ab37-41f1-86ef-ffecca9b83d3.JPG']","Wall, Barriers, Pannels","Covering, Finish",Other,,,
